Wine and Vintage,Vintage,Price per Bottle (ZAR),RATING,Category,Second Category
Omstaan Rooi Muskadel XO (Orange River) (500ml),NA,102,"95/100, PG 2023",Dessert Wine - Fortified,Dessert
Overgaauw Cape Vintage 1998 (Port),1998,490,"95/100, PG 2023","Port, Sherry",Fortified 
Boplaas Colheita Cape Tawny 2007 (Port),2007,750,"Best in Class, NWC 2023","Port, Sherry",Fortified 
Boschendal Jean Le Long Prestige Cuvée Blanc de Blancs 2012 (MCC),2012,1100,"Gold, GWC 2023",MCC,Sparkling
Bon Courage Jacques Bruére Blanc de Blancs 2012 (MCC),2012,245,"D Gold, VA 2023",MCC,Sparkling
Eikendal Cabernet Sauvignon 2013,2013,500,"97/100, TWS 2023",Cabernet Sauvignon,Red
Bosman Optenhorst Chenin Blanc 2013,2013,415,"97/100, TWS 2023",Chenin Blanc,White
Le Lude Agrafé Brut Reserve 2013 (MCC),2013,1200,"96/100, PG 2023",MCC,Sparkling
Weltevrede Philip Jonker The Ring Brut 2013 (MCC),2013,276,"D Gold, CCC 2023",MCC,Sparkling
Spier Brut RD 2013 (MCC),2013,395,"95/100, PG 2023",MCC,Sparkling
Bon Courage Jacques Bruére Brut Reserve 2014 (MCC),2014,245,"Top 100, NWC 2023",MCC,Sparkling
Waterford Cabernet Sauvignon 2015,2015,356,"D Gold, GWC 2023",Cabernet Sauvignon,Red
Moveable Feast (Bruce Jack) 2015 (Red Blend),2015,180,"93/100, TWS 2023",Red Blends,Red Blends
Waterford Jem 2015 (Red Blend),2015,2000,"94/100, G&G 2023",Red Blends,Red Blends
Quoin Rock Black Series Cap Classique 2015 (MCC),2015,1200,"96/100, DWA 2023",MCC,Sparkling
Desiderius Pongrácz (Heineken) 2015 (MCC),2015,550,"D Gold, CCC 2023",MCC,Sparkling
Neil Ellis Jonkershoek Cabernet Sauvignon 2016,2016,520,"94/100, IWSC 2023",Cabernet Sauvignon,Red
Bloemendal Semillon 2016,2016,210,"97/100, TWS 2023",Semillon,White
Bloemendal Tyger Syrah 2016,2016,255,"96/100, TWS 2023",Shiraz / Syrah,Red
Villiera Monro Brut 2016 (MCC),2016,381,"D Gold, VA 2023",MCC,Sparkling
Boschendal Grande Cuvée Brut 2016 (MCC),2016,400,"Gold, MV 2023",MCC,Sparkling
Newstead Brut Blanc de Blanc 2016 (MCC),2016,450,"Best in Class, CCC 2023",MCC,Sparkling
Joubert-Tradauw Cabernet Franc Reserve 2017,2017,490,"Gold, CFC 2023",Cabernet Franc,Red
Leeu Passant Radicales Libres 2017 (Chardonnay),2017,850,"95/100, PG 2023",Chardonnay,White
Fleur du Cap Unfiltered Merlot (Heineken) 2017,2017,205,"Gold, CM 2023",Merlot,Red
Kanonkop Pinotage 2017,2017,450,"Top 10, T10P 2023",Pinotage,Red
Flagstone Time Manner Place Pinotage 2017,2017,900,"97/100, PG 2023",Pinotage,Red
Stettyn Cape Vintage 2017 (Port),2017,120,"N Winner, SAT 2023","Port, Sherry",Fortified 
Glenelly Estate Reserve 2017 (Red Blend),2017,340,"Gold, GWC 2023",Red Blends,Red Blends
Vondeling Philosophie 2017 (Red Blend),2017,1075,"Gold, GWC 2023",Red Blends - Bordeaux Style,Red Blends
Glenelly Lady May 2017 (Red Blend),2017,695,"95/100, G&G 2023",Red Blends - Bordeaux Style,Red Blends
Vergelegen G.V.B Red 2017,2017,750,"94/100, IWSC 2023",Red Blends - Bordeaux Style,Red Blends
Ernie Els Signature 2017 (Red Blend),2017,875,"95/100, DWA 2023",Red Blends - Bordeaux Style,Red Blends
Stellenbosch Hills Suikerboschrand Cape Blend 2017,2017,425,"Top 6, PCB 2023",Red Blends - Cape Blend,Red Blends
Flagstone Velvet 2017 (Red Blend),2017,750,"Top 3 Blends, SSA 2023",Red Blends - Rhone Style,Red Blends
Bloemendal Suider Terras Sauvignon Blanc 2017,2017,340,"Top 20, ST10 2023",Sauvignon Blanc,White
Bloemendal Semillon 2017,2017,210,"D Gold, VA 2023",Semillon,White
Quoin Rock Black Series Cap Classique 2017 (MCC),2017,1200,"Gold, CM 2023",MCC,Sparkling
Laborie Blanc de Blancs (KWV) 2017 (MCC),2017,169,"D Gold, VA 2023",MCC,Sparkling
Kay & Monty Champu Blanc de Blanc 2017 (MCC),2017,245,"93/100, G&G 2023",MCC,Sparkling
Des Dieux Claudia Brut 2017 (MCC),2017,272,"Best in Class, CCC 2023",MCC,Sparkling
Silverthorn Green Man Brut 2017 (MCC),2017,345,"95/100, PG 2023",MCC,Sparkling
Babylonstoren Sprankel 2017 (MCC),2017,635,"Top 100, NWC 2023",MCC,Sparkling
Graham Beck Cuvée Clive 2017 (MCC),2017,970,"Wine of the Yr, NWC 2023",MCC,Sparkling
Bloemendal Kanonberg 2017 (White Blend),2017,210,"93/100, WM 2023",White Blends Bordeaux Style,White Blends
Stellenbosch Vineyards Flagship Cabernet Franc 2018,2018,650,"D Gold, VA 2023",Cabernet Franc,Red
Simonsig Garland 2018 (Cabernet Sauvignon),2018,1665,"94/100, G&G 2023",Cabernet Sauvignon,Red
Brampton Roxton Black Cabernet Sauvignon 2018,2018,190,"Gold, MV 2023",Cabernet Sauvignon,Red
Stellekaya Cabernet Sauvignon 2018,2018,199,"94/100, G&G 2023",Cabernet Sauvignon,Red
La Cave Cabernet Sauvignon (Wellington Wines) 2018,2018,220,"D Gold, VA 2023",Cabernet Sauvignon,Red
Ernie Els Major Series Cabernet Sauvignon 2018,2018,250,"95/100, G&G 2023",Cabernet Sauvignon,Red
Alto Cabernet Sauvignon 2018,2018,275,"Gold, MV 2023",Cabernet Sauvignon,Red
Bartinney Cabernet Sauvignon 2018,2018,320,"95/100, G&G 2023",Cabernet Sauvignon,Red
Nederburg Private Bin Two Centuries Cabernet Sauvignon 2018,2018,435,"D Gold, GWC 2023",Cabernet Sauvignon,Red
Bartinney Skyfall Cabernet Sauvignon 2018,2018,495,"94/100, G&G 2023",Cabernet Sauvignon,Red
Erika Obermeyer Cabernet Sauvignon 2018,2018,745,"D Gold, GWC 2023",Cabernet Sauvignon,Red
Peter Falke Kailani 2018 (Cabernet Sauvignon),2018,750,"93/100, TWS 2023",Cabernet Sauvignon,Red
Mont Rochelle Miko Chardonnay 2018,2018,400,"Trophy, IWSC 2023",Chardonnay,White
Doolhof Riviersteen Chenin Blanc 2018,2018,999,"95/100, DM 2023",Chenin Blanc,White
Glen Carlou Collection Malbec 2018,2018,390,"Gold, MC 2023",Malbec,Red
Meinert Merlot 2018,2018,203,"N Winner, SAT 2023",Merlot,Red
Uva Mira The Mira Merlot 2018,2018,250,"Gold, MV 2023",Merlot,Red
Doolhof Single Vineyard Merlot 2018,2018,295,"Top 20, T10M 2023",Merlot,Red
Stellenbosch Vineyards Flagship Petit Verdot 2018,2018,550,"Best in Class, NWC 2023",Petit Verdot,Red
Paul Cluver Seven Flags Pinot Noir 2018,2018,950,"Best in Class, NWC 2023",Pinot Noir,Red
Beyerskloof Winemakers Reserve 2018 (Pinotage),2018,260,"93/100, IWSC 2023",Pinotage,Red
Springfontein Jonathan's Ridge Single Vineyard Pinotage 2018,2018,495,"Top 20, T10P 2023",Pinotage,Red
Kanonkop Pinotage 2018,2018,525,"Top 20, T10P 2023",Pinotage,Red
Rijk's Reserve Pinotage 2018,2018,630,"Top 20, T10P 2023",Pinotage,Red
Du Toitskloof Dimension 2018 (Red Blend),2018,150,"93/100, DWA 2023",Red Blends,Red Blends
Holden Manz Visionaire 2018 (Red Blend),2018,210,"93/100, IWSC 2023",Red Blends,Red Blends
Vigne d'Or Red Blend 2018 (Terre Paisible),2018,245,"Gold, MV 2023",Red Blends,Red Blends
Ernie Els Proprietor's Blend 2018 (Red Blend),2018,300,"94/100, WM 2023",Red Blends,Red Blends
Alto Estate Blend 2018 (Red Blend),2018,450,"93/100, WM 2023",Red Blends,Red Blends
Plaisir Grand Plaisir Red 2018,2018,790,"95/100, DWA 2023",Red Blends,Red Blends
Sijnn Free Reign 2018 (Red Blend),2018,850,"95/100, PG 2023",Red Blends,Red Blends
Stellenzicht Acheulean Red 2018,2018,875,"93/100, G&G 2023",Red Blends,Red Blends
Villiera Clan 2018 (Red Blend),2018,883,"Gold, CFC 2023",Red Blends,Red Blends
Dornier Cabernet Sauvignon Merlot 2018,2018,179,"Top 100, NWC 2023",Red Blends - Bordeaux Style,Red Blends
Delaire Graff Banghoek 2018 (Red Blend),2018,2200,"Top 3 Blends, CFC 2023",Red Blends - Bordeaux Style,Red Blends
Allée Bleue L'Amour Toujours 2018 (Red Blend),2018,300,"95/100, WM 2023",Red Blends - Bordeaux Style,Red Blends
Beau Constantia Aidan 2018 (Red Blend),2018,300,"95/100, IWC 2023",Red Blends - Bordeaux Style,Red Blends
Blaauwklippen De Blaauwe Klip 2018 (Red Blend),2018,300,"Top 100, NWC 2023",Red Blends - Bordeaux Style,Red Blends
Journey's End Cape Doctor The Red 2018,2018,330,"94/100, WM 2023",Red Blends - Bordeaux Style,Red Blends
Holden Manz Big G 2018 (Red Blend),2018,335,"Top 100, NWC 2023",Red Blends - Bordeaux Style,Red Blends
Idiom Bordicon 'B' Blend 2018 (Red Blend),2018,600,"93/100, WM 2023",Red Blends - Bordeaux Style,Red Blends
Stellenbosch Vineyards Flagship Right Bank 2018 (Red Blend),2018,650,"Top 100, NWC 2023",Red Blends - Bordeaux Style,Red Blends
Glenelly Lady May 2018 (Red Blend),2018,795,"93/100, IWC 2023",Red Blends - Bordeaux Style,Red Blends
Blake's Amethyst 2018 (Red Blend),2018,299,"Top 10, PCB 2023",Red Blends - Cape Blend,Red Blends
Brampton Roxton 2018 (Red Blend),2018,160,"Gold, MV 2023",Red Blends - Rhone Style,Red Blends
Klein Constantia Metis Sauvignon Blanc 2018,2018,295,"95/100, G&G 2023",Sauvignon Blanc,White
Cape of Good Hope Riebeeksrivier Syrah 2018 (Rupert),2018,150,"Top 12, SSA 2023",Shiraz / Syrah,Red
Groenland Premium Syrah 2018,2018,190,"Top 12, SSA 2023",Shiraz / Syrah,Red
Nederburg Manor House Shiraz 2018,2018,245,"Gold, MV 2023",Shiraz / Syrah,Red
Alto Shiraz 2018,2018,275,"Gold, GWC 2023",Shiraz / Syrah,Red
Allée Bleue Single Vineyard Syrah 2018,2018,420,"Top 100, NWC 2023",Shiraz / Syrah,Red
Mount Sutherland Syrah (Super Single Vyds) 2018,2018,450,"97/100, PG 2023",Shiraz / Syrah,Red
Fairview Beacon Shiraz 2018,2018,475,"Top 100, NWC 2023",Shiraz / Syrah,Red
Quoin Rock Shiraz 2018,2018,650,"Top 20, SSA 2023",Shiraz / Syrah,Red
L'Ormarins Blanc de Blancs (Rupert) 2018 (MCC),2018,230,"95/100, PG 2023",MCC,Sparkling
Newstead Brut Blanc de Blanc 2018 (MCC),2018,265,"D Gold, CCC 2023",MCC,Sparkling
Asara Cap Classique 2018,2018,275,"94/100, G&G 2023",MCC,Sparkling
Graham Beck Blanc de Blancs 2018 (MCC),2018,304,"95/100, PG 2023",MCC,Sparkling
Graham Beck Pinot Noir Rosé 2018 (MCC),2018,357,"Best in Class, NWC 2023",MCC,Sparkling
Simonsig Cuvée Royale Blanc de Blancs 2018 (MCC),2018,450,"D Gold, CCC 2023",MCC,Sparkling
Babylonstoren Sprankel 2018 (MCC),2018,650,"97/100, PG 2023",MCC,Sparkling
Graham Beck Cuvée Clive 2018 (MCC),2018,970,"D Gold, CCC 2023",MCC,Sparkling
Rietvallei JMB Cabernet Franc 2019,2019,450,"N Winner, SAT 2023",Cabernet Franc,Red
Nederburg Manor House Cabernet Sauvignon 2019,2019,165,"Gold, MV 2023",Cabernet Sauvignon,Red
Dornier Equanimity Cabernet Sauvignon 2019,2019,201,"Gold, MV 2023",Cabernet Sauvignon,Red
Ridgeback Cabernet Sauvignon 2019,2019,235,"Top 100, NWC 2023",Cabernet Sauvignon,Red
Knorhoek Cabernet Sauvignon 2019,2019,250,"93/100, IWSC 2023",Cabernet Sauvignon,Red
Neil Ellis Stellenbosch Cabernet Sauvignon 2019,2019,250,"97/100, TWS 2023",Cabernet Sauvignon,Red
Alto Cabernet Sauvignon 2019,2019,275,"93/100, WM 2023",Cabernet Sauvignon,Red
Plaisir Cabernet Sauvignon 2019,2019,290,"95/100, IWSC 2023",Cabernet Sauvignon,Red
De Trafford Cabernet Sauvignon 2019,2019,435,"95/100, G&G 2023",Cabernet Sauvignon,Red
Nederburg Private Bin Two Centuries Cabernet Sauvignon 2019,2019,435,"95/100, PG 2023",Cabernet Sauvignon,Red
Kleine Zalze Family Reserve Cabernet Sauvignon 2019,2019,450,"95/100, WM 2023",Cabernet Sauvignon,Red
Neil Ellis Jonkershoek Cabernet Sauvignon 2019,2019,520,"93/100, WM 2023",Cabernet Sauvignon,Red
Beyerskloof Eerste Ry Cabernet Sauvignon 2019,2019,550,"97/100, PG 2023",Cabernet Sauvignon,Red
Stark-Condé Three Pines Cabernet Sauvignon 2019,2019,550,"Gold, GWC 2023",Cabernet Sauvignon,Red
Kanonkop Cabernet Sauvignon 2019,2019,575,"95/100, PG 2023",Cabernet Sauvignon,Red
Stellenrust Douwe Steyn 2019 (Cabernet Sauvignon),2019,620,"95/100, PG 2023",Cabernet Sauvignon,Red
Peter Falke Kailani 2019 (Cabernet Sauvignon),2019,800,"93/100, WM 2023",Cabernet Sauvignon,Red
Stark-Condé Oude Nektar Cabernet Sauvignon 2019,2019,890,"93/100, G&G 2023",Cabernet Sauvignon,Red
Capensis Fijnbosch Chardonnay 2019,2019,1500,"95/100, PG 2023",Chardonnay,White
DeMorgenzon Reserve Chardonnay 2019,2019,430,"93/100, IWSC 2023",Chardonnay,White
Kershaw GPS Lower Duivenhoks River Chardonnay 2019,2019,655,"Gold, GWC 2023",Chardonnay,White
Capensis Chardonnay 2019,2019,995,"Gold, GWC 2023",Chardonnay,White
Slanghoek Legends Barrel Fermented Chenin Blanc 2019,2019,196,"95/100, DM 2023",Chenin Blanc,White
Old Road Stone Trail Single Vineyard Chenin Blanc 2019,2019,355,"N Winner, SAT 2023",Chenin Blanc,White
Keermont Riverside Chenin Blanc 2019,2019,440,"95/100, DM 2023",Chenin Blanc,White
Dornier Malbec 2019,2019,179,"Gold, MC 2023",Malbec,Red
Olivedale Respect for Nature Malbec 2019,2019,205,"Gold, MC 2023",Malbec,Red
Paul Wallace Black Dog Malbec 2019,2019,260,"Best in Class, NWC 2023",Malbec,Red
De Grendel Merlot 2019,2019,170,"Top 10, T10M 2023",Merlot,Red
Fleur du Cap Unfiltered Merlot (Heineken) 2019,2019,200,"Top 20, T10M 2023",Merlot,Red
Dieu Donné Merlot 2019,2019,210,"Gold, CM 2023",Merlot,Red
Plaisir Merlot 2019,2019,230,"Top 20, T10M 2023",Merlot,Red
Groot Constantia Merlot 2019,2019,290,"93/100, G&G 2023",Merlot,Red
Holden Manz Merlot Reserve 2019,2019,610,"Top 10, T10M 2023",Merlot,Red
Simelia Fluvius Merlot 2019,2019,800,"95/100, PG 2023",Merlot,Red
Kershaw Clonal Selection Pinot Noir 2019,2019,595,"94/100, DWA 2023",Pinot Noir,Red
Lanzerac Commemorative Pinotage 2019,2019,1950,"95/100, PG 2023",Pinotage,Red
La Cave Pinotage (Wellington Wines) 2019,2019,220,"Top 20, T10P 2023",Pinotage,Red
Bellingham Bernard Series Bush Vine Pinotage 2019,2019,280,"Grand Gold, MV 2023",Pinotage,Red
Beeslaar Pinotage 2019,2019,525,"Top 10, T10P 2023",Pinotage,Red
Beyerskloof Diesel Pinotage 2019,2019,950,"Top 20, T10P 2023",Pinotage,Red
Spice Route Chakalaka 2019 (Red Blend),2019,195,"Top 100, NWC 2023",Red Blends,Red Blends
Boschendal Nicolas 2019 (Red Blend),2019,200,"95/100, PG 2023",Red Blends,Red Blends
Quoin Rock Simonsberg Blend 2019 (Red Blend),2019,220,"93/100, IWSC 2023",Red Blends,Red Blends
Le Chant du Coq 2019 (Red Blend),2019,225,"93/100, IWSC 2023",Red Blends,Red Blends
Roodeberg Dr Charles Niehaus (KWV) 2019 (Red Blend),2019,339,"D Gold, VA 2023",Red Blends,Red Blends
Beaumont Vitruvian 2019 (Red Blend),2019,485,"95/100, PG 2023",Red Blends,Red Blends
Vondeling Philosophie 2019 (Red Blend),2019,1075,"97/100, PG 2023",Red Blends - Bordeaux Style,Red Blends
Mitre's Edge The Mitre 2019 (Red Blend),2019,235,"Top 3 Blends, CFC 2023",Red Blends - Bordeaux Style,Red Blends
Simonsig Tiara 2019 (Red Blend),2019,260,"D Gold, GWC 2023",Red Blends - Bordeaux Style,Red Blends
Asara Bell Tower 2019 (Red Blend),2019,275,"94/100, G&G 2023",Red Blends - Bordeaux Style,Red Blends
Vrede en Lust Boet Erasmus 2019 (Red Blend),2019,280,"94/100, WM 2023",Red Blends - Bordeaux Style,Red Blends
Hidden Valley Hidden Gems 2019 (Red Blend),2019,285,"93/100, G&G 2023",Red Blends - Bordeaux Style,Red Blends
KWV Mentors Orchestra 2019 (Red Blend),2019,339,"Gold, MV 2023",Red Blends - Bordeaux Style,Red Blends
Durbanville Hills Tangram Red 2019,2019,350,"Gold, CM 2023",Red Blends - Bordeaux Style,Red Blends
Rietvallei Estéanna Red Blend 2019,2019,400,"N Winner, SAT 2023",Red Blends - Bordeaux Style,Red Blends
Remhoogte Reserve Sir Thomas Cullinan 2019 (Red Blend),2019,420,"96/100, PG 2023",Red Blends - Bordeaux Style,Red Blends
Zorgvliet Richelle 2019 (Red Blend),2019,420,"94/100, WM 2023",Red Blends - Bordeaux Style,Red Blends
High Road Director's Reserve 2019 (Red Blend),2019,475,"Gold, GWC 2023",Red Blends - Bordeaux Style,Red Blends
Ridgeback His Master's Choice Signature C 2019 (Red Blend),2019,500,"95/100, PG 2023",Red Blends - Bordeaux Style,Red Blends
Groot Constantia Gouverneurs Reserve Red 2019,2019,540,"95/100, DWA 2023",Red Blends - Bordeaux Style,Red Blends
Windmeul Reserve Cape Blend 2019,2019,150,"Top 10, PCB 2023",Red Blends - Cape Blend,Red Blends
Nuiba Third Post 2019 (Red Blend),2019,350,"95/100, PG 2023",Red Blends - Cape Blend,Red Blends
KWV Mentors Perold 2019 (Red Blend),2019,749,"Top 6, PCB 2023",Red Blends - Cape Blend,Red Blends
Beyerskloof Faith 2019 (Red Blend),2019,800,"95/100, PG 2023",Red Blends - Cape Blend,Red Blends
La Motte Pierneef Syrah Viognier 2019,2019,320,"Top 100, NWC 2023",Red Blends - Rhone Style,Red Blends
Ridgeback His Master's Choice Signature S 2019 (Red Blend),2019,400,"95/100, PG 2023",Red Blends - Rhone Style,Red Blends
Boschendal Black Angus 2019 (Red Blend),2019,450,"93/100, IWC 2023",Red Blends - Rhone Style,Red Blends
Hartenberg Stork 2019 (Shiraz),2019,1000,"Gold Top 10, SdM 2023",Shiraz / Syrah,Red
Hartenberg Gravel Hill 2019 (Shiraz),2019,1200,"95/100, DWA 2023",Shiraz / Syrah,Red
Rietvallei Shiraz 2019,2019,150,"Top 100, NWC 2023",Shiraz / Syrah,Red
Nederburg Manor House Shiraz 2019,2019,165,"Top 20, SSA 2023",Shiraz / Syrah,Red
La Motte Syrah 2019,2019,200,"Top 100, NWC 2023",Shiraz / Syrah,Red
Stellenzicht Arenite Syrah 2019,2019,225,"93/100, IWSC 2023",Shiraz / Syrah,Red
Hartenberg Shiraz 2019,2019,280,"Top 20, SSA 2023",Shiraz / Syrah,Red
Flagstone Dark Horse Shiraz 2019,2019,380,"Top 12, SSA 2023",Shiraz / Syrah,Red
Rhebokskloof Black Marble Hill Syrah 2019,2019,385,"Gold, SdM 2023",Shiraz / Syrah,Red
Kleine Zalze Family Reserve Shiraz 2019,2019,450,"Gold, GWC 2023",Shiraz / Syrah,Red
Boschendal Grande Syrah 2019,2019,850,"93/100, IWC 2023",Shiraz / Syrah,Red
Simonsig Kaapse Vonkel Brut 2019 (MCC),2019,175,"D Gold, CCC 2023",MCC,Sparkling
Benguela Cove Joie de Vivre Brut 2019 (MCC),2019,280,"Trophy, VA 2023",MCC,Sparkling
Cederberg Brut Blanc de Blancs 2019 (MCC),2019,340,"Gold, CSC 2023",MCC,Sparkling
"Kruger Family Reserve Marguerite Brut 2019 (MCC, Stellenview)",2019,350,"94/100, IWSC 2023",MCC,Sparkling
Hillcrest Saartjie Single Vineyard Cabernet Franc 2020,2020,185,"Gold, CFC 2023",Cabernet Franc,Red
Zorgvliet Cabernet Franc 2020,2020,190,"Trophy, GWC 2023",Cabernet Franc,Red
Raats Dolomite Cabernet Franc 2020,2020,215,"Top 6, CFC 2023",Cabernet Franc,Red
Mitre's Edge Cabernet Franc 2020,2020,235,"Gold, CFC 2023",Cabernet Franc,Red
Ridgeback Cabernet Franc 2020,2020,250,"Top 6, CFC 2023",Cabernet Franc,Red
Doolhof Single Vineyard Cabernet Franc 2020,2020,295,"Top 100, NWC 2023",Cabernet Franc,Red
KWV Mentors Cabernet Franc 2020,2020,339,"Gold, MV 2023",Cabernet Franc,Red
Anthology Cabernet Franc 2020,2020,400,"Winner, CFC 2023",Cabernet Franc,Red
Lynx Cabernet Franc 2020,2020,450,"Top 6, CFC 2023",Cabernet Franc,Red
Raats Family Cabernet Franc 2020,2020,750,"Gold, CFC 2023",Cabernet Franc,Red
Diemersfontein Cabernet Sauvignon 2020,2020,147,"Top 100, NWC 2023",Cabernet Sauvignon,Red
Le Bonheur Reserve Cabernet Sauvignon 2020,2020,150,"95/100, DWA 2023",Cabernet Sauvignon,Red
Beau Joubert Jacob's Cab 2020 (Cabernet Sauvignon),2020,170,"Gold, MV 2023",Cabernet Sauvignon,Red
La Motte Cabernet Sauvignon 2020,2020,170,"Top 100, NWC 2023",Cabernet Sauvignon,Red
Kleine Zalze Vineyard Selection Cabernet Sauvignon 2020,2020,199,"Grand Gold, CM 2023",Cabernet Sauvignon,Red
Cederberg Cabernet Sauvignon 2020,2020,240,"93/100, DWA 2023",Cabernet Sauvignon,Red
Cavalli Cabernet Sauvignon 2020,2020,250,"93/100, G&G 2023",Cabernet Sauvignon,Red
Knorhoek Cabernet Sauvignon 2020,2020,250,"Gold, MV 2023",Cabernet Sauvignon,Red
Kruger Family Reserve Cabernet Sauvignon (Stellenview) 2020,2020,250,"94/100, WM 2023",Cabernet Sauvignon,Red
Grand Vin de Stellenbosch Cabernet Sauvignon (Le Grand) 2020,2020,300,"D Gold, VA 2023",Cabernet Sauvignon,Red
Peter Falke Cabernet Sauvignon 2020,2020,300,"93/100, G&G 2023",Cabernet Sauvignon,Red
Ernst Gouws & Co Family Reserve Cabernet Sauvignon 2020,2020,320,"94/100, G&G 2023",Cabernet Sauvignon,Red
Kaapzicht Skemerlig Cabernet Sauvignon 2020,2020,325,"94/100, G&G 2023",Cabernet Sauvignon,Red
Thelema Cabernet Sauvignon 2020,2020,340,"95/100, PG 2023",Cabernet Sauvignon,Red
Thelema Cabernet Sauvignon 2020,2020,340,"93/100, G&G 2023",Cabernet Sauvignon,Red
Deux Frères Cabernet Sauvignon 2020,2020,350,"95/100, G&G 2023",Cabernet Sauvignon,Red
Diemersdal Journal Cabernet Sauvignon 2020,2020,370,"Gold, CM 2023",Cabernet Sauvignon,Red
Tokara Reserve Cabernet Sauvignon 2020,2020,385,"95/100, G&G 2023",Cabernet Sauvignon,Red
Louisvale Five Barrels Cabernet Sauvignon 2020,2020,470,"97/100, TWS 2023",Cabernet Sauvignon,Red
Warwick Blue Lady 2020 (Cabernet Sauvignon),2020,475,"94/100, DWA 2023",Cabernet Sauvignon,Red
Mooiplaas Tabakland Cabernet Sauvignon 2020,2020,520,"95/100, PG 2023",Cabernet Sauvignon,Red
Benguela Cove Vinography Cabernet Sauvignon 2020,2020,600,"D Gold, VA 2023",Cabernet Sauvignon,Red
Cederberg Five Generations Cabernet Sauvignon 2020,2020,750,"95/100, IWSC 2023",Cabernet Sauvignon,Red
Le Riche Reserve Cabernet Sauvignon 2020,2020,940,"97/100, DWA 2023",Cabernet Sauvignon,Red
Mt Vernon Chardonnay 2020,2020,170,"93/100, G&G 2023",Chardonnay,White
Thelema Chardonnay 2020,2020,220,"95/100, IWC 2023",Chardonnay,White
Whalehaven Sandstone Strata Chardonnay 2020,2020,270,"93/100, G&G 2023",Chardonnay,White
Almenkerk Chardonnay 2020,2020,280,"Trophy, SAT 2023",Chardonnay,White
Paul Cluver Estate Chardonnay 2020,2020,300,"Top 100, NWC 2023",Chardonnay,White
Capensis Silene Chardonnay 2020,2020,350,"Master, GWM 2023",Chardonnay,White
Whalehaven Seascape Reserve Chardonnay 2020,2020,405,"93/100, G&G 2023",Chardonnay,White
Hartenberg Eleanor 2020 (Chardonnay),2020,500,"94/100, DWA 2023",Chardonnay,White
Uva Mira Single Tree Chardonnay 2020,2020,720,"94/100, DWA 2023",Chardonnay,White
Uva Mira Chardonnay 2020,2020,990,"Gold, GWM 2023",Chardonnay,White
DeMorgenzon Divas Chenin Blanc 2020,2020,1000,"93/100, DM 2023",Chenin Blanc,White
Quest Old Vine Chenin Blanc (DTK) 2020,2020,190,"93/100, DM 2023",Chenin Blanc,White
Flagstone Paradigm Chenin Blanc 2020,2020,240,"Top 10, CBC 2023",Chenin Blanc,White
Stellenrust Barrel Fermented Chenin Blanc 2020,2020,240,"94/100, DM 2023",Chenin Blanc,White
Bruce Jack Boer Maak ’n Plan Chenin Blanc 2020,2020,250,"95/100, DM 2023",Chenin Blanc,White
Survivor Chenin Blanc Reserve (Overhex) 2020,2020,330,"95/100, DM 2023",Chenin Blanc,White
Carinus Polkadraai Heuwels Chenin Blanc 2020,2020,335,"95/100, DM 2023",Chenin Blanc,White
Old Road Stone Trail Single Vineyard Chenin Blanc 2020,2020,385,"Gold, GWC 2023",Chenin Blanc,White
DeMorgenzon Reserve Chenin Blanc 2020,2020,430,"93/100, IWC 2023",Chenin Blanc,White
Mountain Ridge Chenin Blanc 2020,2020,85,"94/100, DM 2023",Chenin Blanc,White
